,id,title,overview,poster_path,popularity,release_date,vote_average,original_language,vote_average,vote_count,release_date
66,105,Back to the Future,"Eighties teenager Marty McFly is accidentally sent back in time to 1955, inadvertently disrupting his parents' first meeting and attracting his mother's romantic interest. Marty must repair the damage to history by rekindling his parents' romance and - with the help of his eccentric inventor friend Doc Brown - return to 1985.",/fNOH9f1aA7XRTzl1sAOx9iF553Q.jpg,64.027,1985-07-03,8.3,en,8.3,18319,1985-07-03
67,901,City Lights,"In this sound-era silent film, a tramp falls in love with a beautiful blind flower seller.",/bXNvzjULc9jrOVhGfjcc64uKZmZ.jpg,11.576,1931-02-01,8.3,en,8.3,1931,1931-02-01
68,851644,20th Century Girl,"Yeon-du asks her best friend Bora to collect all the information she can about Baek Hyun-jin while she is away in the U.S. for heart surgery. Bora decides to get close to Baek's best friend, Pung Woon-ho first. However, Bora's clumsy plan unfolds in an unexpected direction. In 1999, a year before the new century, Bora, who turns seventeen, falls into the fever of first love.",/od22ftNnyag0TTxcnJhlsu3aLoU.jpg,109.601,2022-10-06,8.3,ko,8.3,501,2022-10-06
69,25237,Come and See,"The invasion of a village in Byelorussia by German forces sends young Florya into the forest to join the weary Resistance fighters, against his family's wishes. There he meets a girl, Glasha, who accompanies him back to his village. On returning home, Florya finds his family and fellow peasants massacred. His continued survival amidst the brutal debris of war becomes increasingly nightmarish, a battle between despair and hope.",/qNbMsKVzigERgJUbwf8pKyZogpb.jpg,29.058,1985-07-09,8.3,ru,8.3,1192,1985-07-09
70,630566,Clouds,"Young musician Zach Sobiech discovers his cancer has spread, leaving him just a few months to live. With limited time, he follows his dream and makes an album, unaware that it will soon be a viral music phenomenon.",/d0OdD1I8qAfETvE9Rp9Voq7R8LR.jpg,19.323,2020-10-09,8.3,en,8.3,949,2020-10-09
71,930094,"Red, White & Royal Blue","After an altercation between Alex, the president's son, and Britain's Prince Henry at a royal event becomes tabloid fodder, their long-running feud now threatens to drive a wedge in U.S./British relations. When the rivals are forced into a staged truce, their icy relationship begins to thaw and the friction between them sparks something deeper than they ever expected.",/vM1HzW1zA8QQ5Cw9g2tWdAxlbOQ.jpg,399.285,2023-07-27,8.3,en,8.3,630,2023-07-27
72,16672,Woman in the Dunes,An entomologist suffers extreme psychological and sexual torture after being taken captive by the residents of a poor seaside village.,/f0JpsMQ9oEjKBD66Ky3qK3z7LGT.jpg,15.932,1964-02-15,8.3,ja,8.3,353,1964-02-15
73,795607,Green Snake,"While trying to free her sister from Fahai's clutches, Xiao Qing winds up in a dystopian city and meets a mysterious man who can't recall his past life.",/1zs5zsQDP5KuWwxIg9EUULLFEV.jpg,22.805,2021-07-23,8.3,zh,8.3,264,2021-07-23
74,447362,Life in a Year,"A 17 year old finds out that his girlfriend is dying, so he sets out to give her an entire life, in the last year she has left.",/bP7u19opmHXYeTCUwGjlLldmUMc.jpg,49.498,2020-11-27,8.3,en,8.3,1536,2020-11-27
75,29259,Le Trou,"Four prison inmates have been hatching a plan to literally dig out of jail when another prisoner, Claude Gaspard, is moved into their cell. They take a risk and share their plan with the newcomer. Over the course of three days, the prisoners and friends break through the concrete floor using a bed post and begin to make their way through the sewer system -- yet their escape is anything but assured.",/8kxtOm7D992iAaOzUoWmNQwbXjs.jpg,13.709,1960-03-18,8.3,fr,8.3,400,1960-03-18
