,genres,id
135,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}, {'id': 9648, 'name': 'Mystery'}]",11324
136,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}]",791373
137,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}, {'id': 10752, 'name': 'War'}]",324786
138,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",629
139,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",10098
140,"[{'id': 16, 'name': 'Animation'}, {'id': 28, 'name': 'Action'}, {'id': 14, 'name': 'Fantasy'}, {'id': 12, 'name': 'Adventure'}]",592350
141,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",133919
142,"[{'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",77
143,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",26451
144,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 18, 'name': 'Drama'}]",1398
145,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10402, 'name': 'Music'}]",654299
146,"[{'id': 14, 'name': 'Fantasy'}, {'id': 18, 'name': 'Drama'}]",422
147,"[{'id': 14, 'name': 'Fantasy'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 12, 'name': 'Adventure'}]",518068
148,"[{'id': 9648, 'name': 'Mystery'}, {'id': 10749, 'name': 'Romance'}, {'id': 53, 'name': 'Thriller'}]",426
149,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",531428
150,"[{'id': 18, 'name': 'Drama'}]",20532
151,"[{'id': 18, 'name': 'Drama'}]",517814
152,"[{'id': 16, 'name': 'Animation'}, {'id': 14, 'name': 'Fantasy'}, {'id': 18, 'name': 'Drama'}, {'id': 10402, 'name': 'Music'}]",555604
153,"[{'id': 16, 'name': 'Animation'}, {'id': 10770, 'name': 'TV Movie'}, {'id': 14, 'name': 'Fantasy'}, {'id': 28, 'name': 'Action'}]",755812
154,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 12, 'name': 'Adventure'}]",313106
155,"[{'id': 16, 'name': 'Animation'}, {'id': 28, 'name': 'Action'}, {'id': 14, 'name': 'Fantasy'}]",810693
156,"[{'id': 12, 'name': 'Adventure'}, {'id': 10751, 'name': 'Family'}]",606856
157,"[{'id': 18, 'name': 'Drama'}, {'id': 37, 'name': 'Western'}]",68718
158,"[{'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}, {'id': 18, 'name': 'Drama'}]",475557
159,"[{'id': 10751, 'name': 'Family'}, {'id': 16, 'name': 'Animation'}]",399106
160,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",2457
161,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",289
162,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]",1422
163,"[{'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}]",398818
164,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",872
165,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",111
166,"[{'id': 35, 'name': 'Comedy'}]",620683
167,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",470044
168,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",823754
169,"[{'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}]",762975
170,"[{'id': 18, 'name': 'Drama'}]",600354
171,"[{'id': 18, 'name': 'Drama'}, {'id': 10770, 'name': 'TV Movie'}]",550776
172,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",103
